"","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"L.R. Chisq","disability","2890","386","264","7","1.05990867105985","1.01805393190228","1.10348416305285","1.09516585339633","0.976518614943774","1.22822875886945","0.593404359930005","0.44110568508067"
"L.R. Chisq1","financial discrimination","7581","7068","504","151","1.08856464570141","1.07326971568228","1.104077540395","1.1408296351383","1.09394766217951","1.1897207712998","7.90780216102138","0.00492220352601247"
"L.R. Chisq2","financial discrimination, female","4257","4131","238","76","1.07437345271682","1.04697093793744","1.10249317729548","1.17512502349526","1.09869818313329","1.2568682118929","1.64569030108173","0.199546520621974"
"L.R. Chisq3","financial discrimination, male","3324","2937","266","75","1.12433196125951","1.0799764815514","1.17050915524913","1.14357326415204","1.0144349487202","1.28915098216323","2.83677550535997","0.0921289228127725"
"L.R. Chisq4","sex discrimination, female","4816","4583","437","569","0.873436754045196","0.858801466808253","0.888321448905195","1.58930551495955","1.50381344374346","1.67965782616834","28.9227550342418","7.53228314165355e-08"
"L.R. Chisq5","sex discrimination, male","3855","3344","122","132","0.961551133908781","0.949914173008151","0.973330653856166","1.21176163446157","1.16231768993187","1.2633088797255","1.78997149719339","0.180929635751152"
"L.R. Chisq6","race discrimination","213","717","38","142","0.919053432184981","0.855651732746427","0.987153042394769","1.31506443412965","1.25675577852348","1.37607838807356","1.01042343239652","0.314801419091315"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq7","weight discrimination,  BMI>29.9","1947","5192","178","199","1.01041318866725","0.990130910222449","1.03111093825297","1.29073755381269","1.21993519932361","1.36564912115502","0.0647835604701754","0.799089105213837"
"L.R. Chisq8","weight discrimination,  BMI>25.0, <=29.9 ","2590","1841","17","14","0.989745022914192","0.981326100228836","0.998236172618849","1.05234664764988","1.0217305625396","1.08388014161709","0.0495135933209845","0.823911829114382"
"L.R. Chisq9","weight discrimination,  BMI>25.0 ","4537","7033","195","213","0.985993683776789","0.974110526859024","0.998021803113539","1.22700677779182","1.18100080440052","1.27480491726787","0.237657501053491","0.625903133751347"
