"","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"L.R. Chisq","disability_discrimination","2890","386","264","7","1.06427228858375","1.02182286312098","1.10848518380937","1.13286141739327","1.03856169451244","1.23572340266292","0.745746740202208","0.387826188106388"
"L.R. Chisq1","financial_status_discrimination","7581","7068","504","151","1.10403893111795","1.0901903058247","1.11806347470865","1.20422064904733","1.15652841301206","1.25387958936108","17.095980890711","3.55374301729272e-05"
"L.R. Chisq2","financial_status_discrimination_female","4257","4131","238","76","1.09364668882573","1.07691271328089","1.11064069095776","1.22992938485972","1.17226922590237","1.29042566188409","8.01945158590246","0.00462775816097105"
"L.R. Chisq3","financial_status_discrimination_male","3324","2937","266","75","1.11805738922902","1.09474488610516","1.14186633020684","1.20525915941925","1.12457439799195","1.29173280483521","9.26981782094089","0.00232960873437171"
"L.R. Chisq4","sex_discrimination","4816","4583","437","569","0.871501553632628","0.856781419819153","0.88647459015207","1.59090369803407","1.50530720592581","1.68136747532669","29.4111668039224","5.85393572505311e-08"
"L.R. Chisq5","sex_discrimination_male","3855","3344","122","132","0.962001437422603","0.95028811380314","0.973859140360529","1.21202370294236","1.16257083501791","1.26358017270533","1.72611276604161","0.188908095506936"
"L.R. Chisq6","race_discrimination","213","717","38","142","0.939712738528488","0.859635129057172","1.02724981925905","1.61163916501121","1.17797044938593","2.20496261137284","0.354057200521623","0.551825383961931"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq7","weight_discrimination_BMI_more30","1947","5192","178","199","1.0328201297268","1.0164983575572","1.04940397831274","1.35431075125619","1.28339824805954","1.42914143270905","1.14227823511862","0.28517143920845"
"L.R. Chisq8","weight_discrimination_BMImore25_less29.9","2590","1841","17","14","0.993015291365306","0.985596888332661","1.00048953132703","1.05776492736936","1.03213920035746","1.0840268843439","0.0311246845328341","0.859962505832184"
"L.R. Chisq9","weight_discrimination_BMImore25","4537","7033","195","213","0.997097904812224","0.987451684638422","1.00683835700273","1.26106141901301","1.21907768519131","1.30449102779986","0.0163442806847343","0.898271833426955"
