"","table_names","V1","V2","V3","V4","V5","V6","V7","V8"
"1","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"2","ALL_age","res_age","4.57236232125622","16596","4.85739537757073e-06","0.40254739909839","1.00665062292292","67.2776586350448","66.5730596240341"
"3","","sex_diff_names","chi sq","df","p value","0_0","0_1","1_0","1_1"
"4","ALL_sex","X-squared","8.62351081517829","1","0.00331851624498052","4583","3344","4816","3855"
"5","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"6","ALL_wealth","res_wealth","-9.25902718884985","16465","2.31166340366904e-20","-131723.796301495","-85696.5632423599","356209.6436167","464919.823388628"
"7","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"8","ALL_BMI","res_BMI","30.4434895041567","14143","3.14720099373614e-197","6.74034461765595","7.66804165989261","35.367689510305","28.1634963715307"
"9","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"10","disability_age","res_age","4.11278710732496","3274","4.00525554222004e-05","1.0990462732534","3.10163859685435","70.7020725388601","68.6017301038062"
"11","","sex_diff_names","chi sq","df","p value","0_0","0_1","1_0","1_1"
"12","disability_sex","X-squared","3.61939593640721","1","0.0571096055805508","207","179","1701","1189"
"13","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"14","disability_wealth","res_wealth","2.71235957393588","3241","0.00671589238569517","22383.4889188281","139157.097920383","426604.167860479","345833.874440874"
"15","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"16","disability_BMI","res_BMI","12.4356431906602","2385","1.9104674986578e-34","5.23904473392441","7.20064140462918","35.491555334085","29.2717122648082"
"17","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"18","financial_age","res_age","1.10407817555051","14647","0.26957736508021","-0.141733247330971","0.507331027860412","67.0015563101302","66.8187574198654"
"19","","sex_diff_names","chi sq","df","p value","0_0","0_1","1_0","1_1"
"20","financial_sex","X-squared","7.76488445690632","1","0.00532717043381263","4131","2937","4257","3324"
"21","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"22","financial_wealth","res_wealth","-40.9375829454665","14647","0","-148406.494272495","-134844.211830425","172017.99991801","313643.35296947"
"23","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"24","financial_BMI","res_BMI","28.9113876848695","12471","5.91335850849227e-178","6.75222072588109","7.73439425116962","35.5752709384788","28.3319634499534"
"25","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"26","sex_female_age","res_age","3.5848978744067","9397","0.000338919803182812","0.340213376355498","1.16116431369216","67.1344097752564","66.3837209302326"
"27","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"28","sex_female_wealth","res_wealth","-6.9232653841006","9324","4.70487056830829e-12","-133394.607364434","-74525.2325384181","332947.546263313","436907.466214738"
"29","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"30","sex_female_BMI","res_BMI","18.4480223203536","7992","1.87224130508708e-74","6.2713840552342","7.76261726203936","35.2574873539253","28.2404866952885"
"31","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"32","race_age","res_age","-15.3919327245462","928","8.79865227782533e-48","-7.75879230455195","-6.00399080975453","55.8744769874477","62.7558685446009"
"33","","sex_diff_names","chi sq","df","p value","0_0","0_1","1_0","1_1"
"34","race_sex","X-squared","2.45337943403426","1","0.117272145690095","439","278","117","96"
"35","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"36","race_wealth","res_wealth","-13.7342190838929","925","3.35078372904092e-39","-369536.562770923","-277131.797642666","91342.8165902057","414676.996797"
"37","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"38","race_BMI","res_BMI","4.60290130866005","845","4.80597078293626e-06","4.78573925756559","11.9015597178658","37.2447726263631","28.9011231386475"
"39","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"40","BMI_30_age","res_age","-1.25444268087714","7137","0.209722227905199","-0.830535728219384","0.182359046144394","66.2419106317411","66.5659989727786"
"41","","sex_diff_names","chi sq","df","p value","0_0","0_1","1_0","1_1"
"42","BMI_30_sex","X-squared","20.942892313678","1","4.73180178331138e-06","2737","2455","1145","802"
"43","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"44","BMI_30_wealth","res_wealth","-3.88255135813745","7115","0.000104301561699323","-106445.621811508","-35019.8196175979","309020.433576826","379753.154291379"
"45","","T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"46","BMI_30_BMI","res_BMI","13.5484861927358","7137","2.6140558010999e-41","5.44344325507576","7.28510491258051","40.3541966879195","33.9899226040914"
