"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"L.R. Chisq","disability","1","2662","332","259","6","1.06905024238584","1.0227925853237","1.11739998621863","1.11374330312288","0.984762019743463","1.25961818224286","0.688358499857074","0.406723277542975"
"L.R. Chisq1","disability","2","195","54","3","1","0.967025793207538","0.90981229044941","1.02783716437459","1.03376395434815","0.834746063509131","1.28023115055737","0.0198185654588077","0.888044986219195"
"L.R. Chisq2","financial discrimination","1","7581","7068","504","151","1.08491525639685","1.06987869944533","1.10016314388984","1.13879644907286","1.09199136988303","1.18760769378599","7.50709045129383","0.00614565685155477"
"L.R. Chisq3","financial discrimination","2","959","859","29","11","1.01339617203439","0.982852903924571","1.04488860682327","0.978319795730362","0.879170015143643","1.08865134869451","0.022727087673907","0.880168939078125"
"L.R. Chisq4","financial discrimination, female","1","4257","4131","238","76","1.05804426006598","1.03275309141548","1.08395478606049","1.17650890482196","1.09982724230979","1.25853693187158","1.16623257189134","0.280176699948393"
"L.R. Chisq5","financial discrimination, female","2","486","452","11","5","1.02236913693512","0.974534034648571","1.07255223008644","1.13776912223179","0.952487260528298","1.35909279751007","0.015013223468308","0.902480508113928"
"L.R. Chisq6","financial discrimination, male","1","3324","2937","266","75","1.10664092052552","1.06622262519123","1.14859138987217","1.14213236664852","1.01301037079364","1.28771272294495","2.48821995533714","0.114701387433932"
"L.R. Chisq7","financial discrimination, male","2","473","407","18","6","1.00006124957993","0.900224602702409","1.11096997339228","0.864258324633685","0.613107959577448","1.21828862279559","6.33669809957382e-08","0.999799150125305"
"L.R. Chisq8","sex discrimination, female","1","4257","4131","374","512","0.876794590900147","0.861480378275753","0.892381038521671","1.59140082861738","1.50364703633729","1.68427598772985","24.7715223980512","6.45440479729587e-07"
"L.R. Chisq9","sex discrimination, female","2","486","452","57","57","0.844826742456781","0.795048448405408","0.897721674951553","1.77091864640173","1.40978983604533","2.22455345611706","3.95459773819503","0.0467434889356459"
"L.R. Chisq10","sex discrimination, male","1","3324","2937","114","114","0.967904559275335","0.95534651832254","0.980627675820647","1.2165715473113","1.16386522454504","1.27166470697322","1.10112576238541","0.294019179223285"
"L.R. Chisq11","sex discrimination, male","2","473","407","7","18","0.913968091531279","0.883566914005288","0.945415292375162","1.21443616535191","1.07240600506101","1.37527689396961","1.00352658602007","0.316458679312664"
"L.R. Chisq12","race discrimination","1","192","705","33","140","0.912421157974434","0.846880350587081","0.983034225486852","1.31790886243378","1.25884639771087","1.37974241562744","1.09602060400144","0.295141076979263"
"L.R. Chisq13","race discrimination","2","18","12","5","2","1.06893910574725","0.737692158112376","1.54892633631827","1.18136041286565","0.825477830605428","1.6906722062572","0.0263736263736263","0.870991194797464"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq14","weight discrimination,  BMI>29.9","1","1771","4720","167","185","1.0122402606149","0.990853191252431","1.03408895914702","1.28778671683301","1.21414095601926","1.36589958507685","0.0813829799848236","0.77543191458975"
"L.R. Chisq15","weight discrimination,  BMI>29.9","2","154","472","10","14","0.988876315009345","0.925264562995204","1.05686136213944","1.37558752897867","1.11515147247734","1.69684665857812","0.00620979563057134","0.937189909198317"
"L.R. Chisq16","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.988393015974266","0.978863854912499","0.998014942654137","1.05432717717701","1.02018784746306","1.08960893750923","0.0560055526867131","0.812924507657819"
"L.R. Chisq17","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.988393015974266","0.978863854912499","0.998014942654137","1.05432717717701","1.02018784746306","1.08960893750923","0.0560055526867131","0.812924507657819"
"L.R. Chisq18","weight discrimination,  BMI>25.0 ","1","3993","6308","183","199","0.986940870475385","0.97417834105711","0.999870599419957","1.22757884766981","1.17891653614373","1.27824980059708","0.184509327601972","0.6675262967466"
"L.R. Chisq19","weight discrimination,  BMI>25.0 ","2","477","725","11","14","0.977179036807311","0.945994493911241","1.00939157270112","1.22047195238407","1.08374720733206","1.37444579001327","0.0634891838644016","0.801063787639791"
