"","analysis_variable_name","rownames_situations","estimate","lower","upper","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"X0","disability","discrim_lessrespect_USA",1,NA,NA,3.15385106592003,0.0757479966901395
"X1","disability","discrim_lessrespect_UK",4.88095238095238,1.06130629155581,22.4475218272763,3.15385106592003,0.0757479966901395
"X0.1","disability","discrim_medical_USA",1,NA,NA,12.5620461119281,0.000393660492267515
"X1.1","disability","discrim_medical_UK",0.0450885668276973,0.0053182280733308,0.382266204183768,12.5620461119281,0.000393660492267515
"X0.2","disability","discrim_notclever_USA",1,NA,NA,0.000747444109206115,0.978189012738864
"X1.2","disability","discrim_notclever_UK",1.39166666666667,0.304761265777853,6.35492868874891,0.000747444109206115,0.978189012738864
"X0.3","disability","discrim_poor_service_USA",1,NA,NA,1.69595651735104e-29,0.999999999999997
"X1.3","disability","discrim_poor_service_UK",0.871459694989107,0.190977081755184,3.97661328265579,1.69595651735104e-29,0.999999999999997
"X0.4","disability","discrim_harrased_USA",1,NA,NA,7.46246811384855,0.00629985729038507
"X1.4","disability","discrim_harrased_UK",0.070902394106814,0.00839445742702204,0.598865326768518,7.46246811384855,0.00629985729038507
"X01","financial discrimination","discrim_lessrespect_USA",1,NA,NA,62.85077661923,2.22975682276709e-15
"X11","financial discrimination","discrim_lessrespect_UK",4.79945799457995,3.20961192233965,7.17681688599478,62.85077661923,2.22975682276709e-15
"X0.11","financial discrimination","discrim_medical_USA",1,NA,NA,214.498263296747,1.43390533628242e-48
"X1.11","financial discrimination","discrim_medical_UK",0.0529314929720147,0.0338624343700451,0.0827389702001129,214.498263296747,1.43390533628242e-48
"X0.21","financial discrimination","discrim_notclever_USA",1,NA,NA,0.0498942448088896,0.823247397887849
"X1.21","financial discrimination","discrim_notclever_UK",1.0613154960981,0.734617877383934,1.53330134881713,0.0498942448088896,0.823247397887849
"X0.31","financial discrimination","discrim_poor_service_USA",1,NA,NA,5.09317625230793,0.0240201590791233
"X1.31","financial discrimination","discrim_poor_service_UK",0.643162774113033,0.444629999834879,0.93034287870452,5.09317625230793,0.0240201590791233
"X0.41","financial discrimination","discrim_harrased_USA",1,NA,NA,160.008231293175,1.12680793975502e-36
"X1.41","financial discrimination","discrim_harrased_UK",0.0811590959946297,0.0528244022553997,0.124692350153233,160.008231293175,1.12680793975502e-36
"X02","financial discrimination, female","discrim_lessrespect_USA",1,NA,NA,18.3091952696066,1.87798507543791e-05
"X12","financial discrimination, female","discrim_lessrespect_UK",3.36050724637681,1.93103705011194,5.84815757537972,18.3091952696066,1.87798507543791e-05
"X0.12","financial discrimination, female","discrim_medical_USA",1,NA,NA,115.893539870181,5.01508450648833e-27
"X1.12","financial discrimination, female","discrim_medical_UK",0.042654028436019,0.0221388378899886,0.082179839378265,115.893539870181,5.01508450648833e-27
