"","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"X-squared","disability discrimination","2890","386","264","7","0.0101069102750687","0.00890551959810349","0.0114703734221239","0.000341128229405252","0.000161521477695341","0.000720451982965726","3.06289455225625","1.42620476962938","6.57782335188718","8.37093198607374","0.00381270042577328","disability discrimination","2890","386","264","7","1.05990867105985","1.01805393190228","1.10348416305285","1.09516585339633","0.976518614943774","1.22822875886945","0.593404359930005","0.44110568508067"
"X-squared1","financial status discrimination","7581","7068","504","151","0.00507180656693288","0.00463361067059466","0.00555144220804427","0.000476560829726242","0.000405597481827896","0.000559939927155988","3.31327937741511","2.74680824208123","3.99657320981623","171.597439222447","3.31344023626116e-39","financial status discrimination","7581","7068","504","151","1.09359532792976","1.07761815950367","1.10980937980901","1.14152082606943","1.09461930572244","1.19043195158181","8.12085452311061","0.00437589280643014"
"X-squared2","financial status discrimination, female","4257","4131","238","76","0.00350685574697098","0.00307702801893393","0.00399672578682731","0.000351273564322866","0.000279958331509885","0.000440755294999085","3.27723378212974","2.513835663331","4.27245958015444","83.745375692013","5.62785465156501e-20","financial status discrimination, female","4257","4131","238","76","1.08237834243219","1.05333385589659","1.1122236977459","1.175313882964","1.09891071834308","1.25702907472838","1.80626028854968","0.1789574953482"
"X-squared3","financial status discrimination, male","3324","2937","266","75","0.00756638282928565","0.00667535283726613","0.00857634802458701","0.000686725648159137","0.000546026391409406","0.000863680077115523","3.27721638871732","2.51251644797797","4.27465749214134","82.9570854877749","8.38542409420078e-20","financial status discrimination, male","3324","2937","266","75","1.13222992156226","1.08524529874013","1.18124869720155","1.14454040931964","1.01532357371179","1.29020223944629","2.87131205723271","0.0901713309197888"
"X-squared4","sex discrimination","4816","4583","437","569","0.00995893696591421","0.00902631060930768","0.0109879251649927","0.0200941572458528","0.0184051547199452","0.0219381559984115","0.348543611058305","0.30404736937883","0.399551718068643","240.907222561726","2.49397465998884e-54","sex discrimination","4816","4583","437","569","0.871501553632628","0.856781419819153","0.88647459015207","1.59090369803407","1.50530720592581","1.68136747532669","29.4111668039224","5.85393572505311e-08"
"X-squared5","sex discrimination, male","3855","3344","122","132","0.00106807975062448","0.000891844039016825","0.00127914108721483","0.00168887220866954","0.00141906011928925","0.00200998484732622","0.433265087257483","0.336189916320809","0.558370809840423","42.9840304812822","5.51885189502787e-11","sex discrimination, male","3855","3344","122","132","0.962001437422603","0.95028811380314","0.973859140360529","1.21202370294236","1.16257083501791","1.26358017270533","1.72611276604161","0.188908095506936"
"X-squared6","race discrimination","213","717","38","142","0.0471510204081633","0.0332008496514864","0.0669627057400171","0.0609875236294896","0.0507544651097425","0.0732837599690038","0.632367453126402","0.422327230345534","0.946869079330728","4.57961036364545","0.0323545710582386","race discrimination","213","717","38","142","0.919053432184981","0.855651732746427","0.987153042394769","1.31506443412965","1.25675577852348","1.37607838807356","1.01042343239652","0.314801419091315"
"X-squared7","sexual orientation discrimination","8671","7927","62","12","5.18654276730202e-05","4.04003101204066e-05","6.65842064005972e-05","2.29858545210896e-06","1.30481582681413e-06","4.04922669703298e-06","4.6787596563425","2.51806755837438","8.69348872273725","27.6121258636447","1.48246498314115e-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X-squared8","weight discrimination,  BMI>30","1947","5192","178","199","0.0101247507078921","0.0086786051273715","0.0118118724602014","0.0015884846435721","0.00137864074500219","0.00183026903274962","1.41420451482682","1.14491138173582","1.74683773928804","10.0690607654874","0.00150779875961221","weight discrimination,  BMI>30","1947","5192","178","199","1.01093131033904","0.990601541434279","1.03167829997932","1.29066523264349","1.21988430082207","1.3655530623946","0.0710868516229652","0.789760849389631"
"X-squared9","weight discrimination,  BMI>25.0, <=29.9 ","2590","1841","17","14","4.36534196412291e-05","2.7094858324774e-05","7.03314637608143e-05","5.87190440539624e-05","3.47065656616561e-05","9.93450682566514e-05","0.452084814025113","0.221932309905158","0.920914485860402","4.16399383402555","0.041291931269398","weight discrimination,  BMI>25.0, <=29.9 ","2590","1841","17","14","0.990471311429722","0.98198495387416","0.999031008463936","1.0518087593039","1.02122075847452","1.08331294381538","0.0421166928607555","0.837397494780761"
"X-squared10","weight discrimination,  BMI>25.0 ","4537","7033","195","213","0.00201692423536161","0.00174734593898802","0.00232809272647237","0.000975417308072685","0.000851064028199298","0.00111794047611299","0.79484486380385","0.651161897895955","0.970232379315764","4.88561701517044","0.0270813533307263","weight discrimination,  BMI>25.0 ","4537","7033","195","213","0.987097382106681","0.975137488664178","0.999203961583529","1.22737236811503","1.18135246801743","1.27518498568041","0.199283945679099","0.655299446253591"
