"","analysis_variable_name","country","N_subset","N_discrimYES","N_low_SES","n_discrimYES_low_SES","N_high_SES","n_discrimYES_high_SES","Odds_ratio","Odds_ratio_CI_lower","Odds_ratio_CI_upper","OR_discrimination_SES_value","OR_discrimination_SES_values_CI_lower","OR_discrimination_SES_values_CI_upper","discrimination_chi_value_SES","discrimination_pvalue_SES"
"X-squared","disability","England","2890","264","2662","259","195","3","0.0101069102750687","0.00890551959810349","0.0114703734221239","0.143110323438192","0.0454026377861159","0.451087550707174","13.8974310694211","0.000193062166619237"
"X-squared1","financial discrimination","England","8671","536","7581","504","959","29","0.00434124668650451","0.00397791545702278","0.00473776353386649","0.457707669100758","0.310963074317265","0.673701566700831","15.8566021499359","6.83277360132069e-05"
"X-squared2","financial discrimination, female","England","4816","252","4257","238","486","11","0.0030486657382664","0.0026855157543291","0.00346092282970104","0.392571843552236","0.211414857224176","0.728958477060041","8.72054317017476","0.00314644285790087"
"X-squared3","financial discrimination, male","England","3855","284","3324","266","473","18","0.0063249482965119","0.00560501033234489","0.00713735900230045","0.497983595352016","0.302742506752692","0.81913723943067","7.26508597132803","0.00703079032958813"
"X-squared4","sex discrimination, female","England","4816","437","4257","374","486","57","0.00995893696591421","0.00902631060930768","0.0109879251649927","1.34124974290415","0.997044464106627","1.80428349747908","3.47420343067627","0.0623327262416614"
"X-squared5","sex discrimination, male","England","3855","122","3324","114","473","7","0.00106807975062448","0.000891844039016825","0.00127914108721483","0.414647730437204","0.192039996970401","0.895296516710653","4.7254463439803","0.0297194689547567"
"X-squared6","race discrimination","England","213","38","192","33","18","5","0.0471510204081633","0.0332008496514864","0.0669627057400171","1.67832167832168","0.559459840315781","5.0347915130684","0.38412053898646","0.535406201838778"
"X-squared7","sexual orientation discrimination","England","8671","62","7581","58","959","4","5.18654276730202e-05","4.04003101204066e-05","6.65842064005972e-05","0.58352176370831","0.210932081856243","1.61425253913398","0.70836835600864","0.399986010858874"
"X-squared8","weight discrimination,  BMI>29.9","England","1947","178","1771","167","154","10","0.0101247507078921","0.0086786051273715","0.0118118724602014","0.670130327580134","0.345750710211055","1.29883943164869","1.09602694245697","0.295139680659167"
"X-squared9","weight discrimination,  BMI>25.0, <=29.9 ","England","2590","17","2222","16","323","1","4.36534196412291e-05","2.7094858324774e-05","7.03314637608143e-05","0.419584690553746","0.0554468984752924","3.17513363936006","0.254742556330606","0.613755318318517"
"X-squared10","weight discrimination,  BMI>25.0 ","England","4537","195","3993","183","477","11","0.00201692423536161","0.00174734593898802","0.00232809272647237","0.486166105416374","0.262471483027626","0.900507283036334","4.94203601497441","0.0262111440340279"
"X-squared11","disability ","USA","386","7","332","6","54","1","0.000341128229405252","0.000161521477695341","0.000720451982965726","1.22222222222222","0.141018556025213","10.5931247815837","9.54643058533612e-32","1"
"X-squared12"," financial discrimination ","USA","7927","162","7068","151","859","11","0.000435258347572299","0.000372541912635138","0.000508532926647942","0.710216335540839","0.381577594112134","1.32189953249935","0.895071785704271","0.344106592716954"
"X-squared13"," financial discrimination, female","USA","4583","81","4131","76","452","5","0.000323712191886286","0.000259855745253212","0.000403260597812501","0.696594427244582","0.278659408387895","1.74135084429931","0.331177700295305","0.564966437005421"
"X-squared14"," financial discrimination, male ","USA","3344","81","2937","75","407","6","0.000616220142650127","0.000494298720685495","0.000768214135130949","0.699883040935673","0.300201199003333","1.63169325311031","0.412045616509742","0.520933053094438"
"X-squared15","sex discrimination, female  ","USA","4583","569","4131","512","452","57","0.0200941572458528","0.0184051547199452","0.0219381559984115","1.2626953125","0.916908074950287","1.73888691327745","1.81088232403357","0.178402423059973"
"X-squared16","sex discrimination, male ","USA","3344","132","2937","114","407","18","0.00168887220866954","0.00141906011928925","0.00200998484732622","1.44687189672294","0.857307727610537","2.44187497453383","1.53876607789381","0.21480156546694"
"X-squared17","race discrimination","USA","717","142","705","140","12","2","0.0609875236294896","0.0507544651097425","0.0732837599690038","0.742857142857143","0.152474056326435","3.61921724908032","2.08078711644775e-30","0.999999999999999"
"X-squared18","sexual orientation discrimination","USA","7927","12","7068","9","859","3","2.29858545210896e-06","1.30481582681413e-06","4.04922669703298e-06","3.30548302872063","0.891118091523141","12.2612459079183","1.94661127568715","0.162952486527773"
"X-squared19","weight discrimination,  BMI> 29.9 ","USA","5192","199","4720","185","472","14","0.0015884846435721","0.00137864074500219","0.00183026903274962","0.898924166885332","0.51266289979688","1.57621052377819","0.0549075697686842","0.814733732175722"
"X-squared20","weight discrimination,  BMI>25.0, <=29.9 ","USA","1841","14","1588","14","253","0","5.87190440539624e-05","3.47065656616561e-05","9.93450682566514e-05","0","0","NaN","0.863268245128926","0.352825709764971"
"X-squared21","weight discrimination,  BMI>25.0,","USA","7033","213","6308","199","725","14","0.000975417308072685","0.000851064028199298","0.00111794047611299","0.735516291133085","0.422526668003945","1.28035519527756","0.930227743953896","0.334803752949187"
