,analysis_variable_name,rownames_situations,discrim_lessrespectcross_country_OR_UK,discrim_lessrespectCI1_UK,discrim_lessrespectCI2_UK,discrim_lessrespectchi_value_cross_national,discrim_lessrespectpvalue_cross_national
L.R..Chisq,disability,discrim_lessrespect,1.31,0.94,1.81,0.42,0.5178
,,,,,,,
L.R..Chisq.1,disability,discrim_medical,0.57,0.40,0.79,1.91,0.1667
,,,,,,,
L.R..Chisq.2,disability,discrim_notclever,1.06,0.72,1.58,0.02,0.8797
,,,,,,,
L.R..Chisq.3,disability,discrim_poor_service,0.91,0.61,1.35,0.05,0.8172
,,,,,,,
L.R..Chisq.4,disability,discrim_harrased,0.53,0.37,0.75,2.44,0.1180
,,,,,,,
L.R..Chisq1,financial discrimination,discrim_lessrespect,1.45,1.30,1.63,8.99,0.0027
,,,,,,,
L.R..Chisq.11,financial discrimination,discrim_medical,0.56,0.51,0.61,21.85,0.0000
,,,,,,,
L.R..Chisq.21,financial discrimination,discrim_notclever,1.00,0.88,1.13,0.00,0.9918
,,,,,,,
L.R..Chisq.31,financial discrimination,discrim_poor_service,0.89,0.79,1.00,0.87,0.3514
,,,,,,,
L.R..Chisq.41,financial discrimination,discrim_harrased,0.61,0.55,0.67,15.77,0.0001
,,,,,,,
L.R..Chisq2,"financial discrimination, female",discrim_lessrespect,1.40,1.10,1.80,1.74,0.1869
,,,,,,,
L.R..Chisq.12,"financial discrimination, female",discrim_medical,0.54,0.45,0.65,5.81,0.0160
,,,,,,,
L.R..Chisq.22,"financial discrimination, female",discrim_notclever,0.91,0.71,1.17,0.12,0.7274
,,,,,,,
L.R..Chisq.32,"financial discrimination, female",discrim_poor_service,0.79,0.62,1.01,0.86,0.3532
,,,,,,,
L.R..Chisq.42,"financial discrimination, female",discrim_harrased,0.57,0.47,0.69,4.89,0.0270
,,,,,,,
L.R..Chisq3,"financial discrimination, male",discrim_lessrespect,1.48,1.14,1.94,1.86,0.1729
,,,,,,,
L.R..Chisq.13,"financial discrimination, male",discrim_medical,0.59,0.47,0.73,3.20,0.0737
,,,,,,,
L.R..Chisq.23,"financial discrimination, male",discrim_notclever,1.09,0.82,1.44,0.08,0.7734
,,,,,,,
L.R..Chisq.33,"financial discrimination, male",discrim_poor_service,0.98,0.74,1.30,0.01,0.9434
,,,,,,,
L.R..Chisq.43,"financial discrimination, male",discrim_harrased,0.66,0.52,0.84,1.92,0.1663
,,,,,,,
L.R..Chisq4,"sex discrimination, female",discrim_lessrespect,1.87,1.78,1.96,95.12,0.0000
,,,,,,,
L.R..Chisq.14,"sex discrimination, female",discrim_medical,0.58,0.55,0.61,74.05,0.0000
,,,,,,,
L.R..Chisq.24,"sex discrimination, female",discrim_notclever,1.38,1.30,1.46,24.84,0.0000
,,,,,,,
L.R..Chisq.34,"sex discrimination, female",discrim_poor_service,1.04,0.97,1.10,0.30,0.5849
,,,,,,,
L.R..Chisq.44,"sex discrimination, female",discrim_harrased,0.62,0.59,0.66,54.46,0.0000
,,,,,,,
L.R..Chisq5,"sex discrimination, male",discrim_lessrespect,1.91,1.73,2.11,23.96,0.0000
,,,,,,,
L.R..Chisq.15,"sex discrimination, male",discrim_medical,0.64,0.57,0.73,10.80,0.0010
,,,,,,,
L.R..Chisq.25,"sex discrimination, male",discrim_notclever,1.33,1.17,1.51,4.59,0.0321
,,,,,,,
L.R..Chisq.35,"sex discrimination, male",discrim_poor_service,1.13,0.99,1.29,0.83,0.3610
,,,,,,,
L.R..Chisq.45,"sex discrimination, male",discrim_harrased,0.78,0.69,0.89,3.32,0.0683
,,,,,,,
L.R..Chisq6,race discrimination,discrim_lessrespect,1.57,1.34,1.84,5.82,0.0159
,,,,,,,
L.R..Chisq.16,race discrimination,discrim_medical,0.65,0.55,0.76,5.51,0.0189
,,,,,,,
L.R..Chisq.26,race discrimination,discrim_notclever,1.39,1.17,1.65,3.10,0.0782
,,,,,,,
L.R..Chisq.36,race discrimination,discrim_poor_service,1.10,0.92,1.31,0.27,0.6051
,,,,,,,
L.R..Chisq.46,race discrimination,discrim_harrased,0.59,0.50,0.69,8.15,0.0043
,,,,,,,
36,NA,NA,NA,NA,NA,NA,NA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
L.R..Chisq7,"weight discrimination,  BMI>29.9",discrim_lessrespect,1.74,1.54,1.97,13.18,0.0003
,,,,,,,
L.R..Chisq.17,"weight discrimination,  BMI>29.9",discrim_medical,0.56,0.50,0.64,14.08,0.0002
,,,,,,,
L.R..Chisq.27,"weight discrimination,  BMI>29.9",discrim_notclever,1.36,1.18,1.57,3.98,0.0459
,,,,,,,
L.R..Chisq.37,"weight discrimination,  BMI>29.9",discrim_poor_service,0.92,0.79,1.07,0.28,0.5956
,,,,,,,
L.R..Chisq.47,"weight discrimination,  BMI>29.9",discrim_harrased,0.62,0.54,0.71,9.52,0.0020
,,,,,,,
L.R..Chisq8,"weight discrimination,  BMI>25.0, <=29.9 ",discrim_lessrespect,1.95,0.86,4.42,0.72,0.3961
,,,,,,,
L.R..Chisq.18,"weight discrimination,  BMI>25.0, <=29.9 ",discrim_medical,0.94,0.42,2.09,0.01,0.9319
,,,,,,,
L.R..Chisq.28,"weight discrimination,  BMI>25.0, <=29.9 ",discrim_notclever,1.53,0.79,2.97,0.29,0.5882
,,,,,,,
