"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"X-squared","disability","1","2662","332","259","6","0.0116169464268984","0.0102193305180752","0.0132057030591908","0.000338740637585156","0.000151069222734916","0.000759553914915834","3.36016511867905","1.47435115277483","7.65808715483925","8.57935422113142","0.00339995931379535","disability","1","2662","332","259","6","1.06905024238584","1.0227925853237","1.11739998621863","1.11374330312288","0.984762019743463","1.25961818224286","0.688358499857074","0.406723277542975"
"X-squared1","disability","2","195","54","3","1","0.000244140624999999","7.80485800785886e-05","0.000763686472135344","0.000355998576005695","4.9230953961263e-05","0.00257429474589916","0.39344262295082","0.0393348716404244","3.9353655191628","0.00165777102488182","0.967522517787728","disability","2","195","54","3","1","0.967025793207538","0.90981229044941","1.02783716437459","1.03376395434815","0.834746063509131","1.28023115055737","0.0198185654588077","0.888044986219195"
"X-squared2","financial, all","1","7581","7068","504","151","0.00507180656693288","0.00463361067059466","0.00555144220804427","0.000476560829726242","0.000405597481827896","0.000559939927155988","3.31327937741511","2.74680824208123","3.99657320981623","171.597439222447","3.31344023626116e-39","financial discrimination","1","7581","7068","504","151","1.08856464570141","1.07326971568228","1.104077540395","1.1408296351383","1.09394766217951","1.1897207712998","7.90780216102138","0.00492220352601247"
"X-squared3","financial, all","2","959","859","29","11","0.000972366747600878","0.000671919844648984","0.00140715756406011","0.000168264951940193","9.28288109616275e-05","0.000305003304018826","2.13528372275672","1.05267154390072","4.3313003026325","3.9373901171134","0.0472239888073353","financial discrimination","2","959","859","29","11","1.01560391728863","0.98451414998275","1.04767546188147","0.973434601362856","0.874113980994706","1.08404046123614","0.0298305960594014","0.862875168615812"
"X-squared4","financial, female","1","4257","4131","238","76","0.00350685574697098","0.00307702801893393","0.00399672578682731","0.000351273564322866","0.000279958331509885","0.000440755294999085","3.27723378212974","2.513835663331","4.27245958015444","83.745375692013","5.62785465156501e-20","financial discrimination, female","1","4257","4131","238","76","1.07437345271682","1.04697093793744","1.10249317729548","1.17512502349526","1.09869818313329","1.2568682118929","1.64569030108173","0.199546520621974"
"X-squared5","financial, female","2","486","452","11","5","0.000536288088642658","0.000294979453002437","0.000974999821487972","0.000125119489112102","5.1823402754503e-05","0.000302081409625558","1.84691358024691","0.631366561004372","5.40270895480138","0.775594759429025","0.378491814135902","financial discrimination, female","2","486","452","11","5","1.02851319055965","0.978984215662529","1.08054794574935","1.10583637274776","0.917779149995006","1.33242739639332","0.0228584088071524","0.879825857486672"
"X-squared6","financial, male","1","3324","2937","266","75","0.00756638282928565","0.00667535283726613","0.00857634802458701","0.000686725648159137","0.000546026391409406","0.000863680077115523","3.27721638871732","2.51251644797797","4.27465749214134","82.9570854877749","8.38542409420078e-20","financial discrimination, male","1","3324","2937","266","75","1.12433196125951","1.0799764815514","1.17050915524913","1.14357326415204","1.0144349487202","1.28915098216323","2.83677550535997","0.0921289228127725"
"X-squared7","financial, male","2","473","407","18","6","0.00156502837821519","0.000977143423620807","0.00250660626210115","0.000223879204731314","9.99805767825055e-05","0.000501316354877199","2.33181818181818","0.906062414160108","6.00110538532617","2.52379116292073","0.11214068865834","financial discrimination, male","2","473","407","18","6","0.996545593345953","0.89623141915117","1.1080878201724","0.887364541854001","0.622210380951891","1.26551381051394","0.000199878735746672","0.988720005422252"
"X-squared8","sex discrimination, female","1","4257","4131","374","512","0.00927701851391152","0.00834299591831746","0.0103156076486267","0.020015330039846","0.0182461331558994","0.0219560732776104","0.343984737776564","0.297527136327064","0.39769649681009","219.155137383401","1.3825194418566e-49","sex discrimination, female","1","4257","4131","374","512","0.869047938426394","0.853568626878594","0.88480796446914","1.56390235682954","1.47712641903398","1.65577607317897","27.0419334944414","1.99089289054655e-07"
"X-squared9","sex discrimination, female","2","486","452","57","57","0.0176536749963323","0.0133915865652919","0.0232722418181476","0.0208235859637879","0.0157742315651851","0.0274892460275718","0.365384615384615","0.242135074644746","0.551369591355732","23.0447470571459","1.58274354409497e-06","sex discrimination, female","2","486","452","57","57","0.847365522119155","0.796066414212017","0.90197038244228","1.75377540671085","1.38936189549081","2.2137703554172","3.61216188638649","0.0573585111687069"
"X-squared10","sex discrimination, male","1","3324","2937","114","114","0.00126124552362652","0.00104633930238999","0.00152029104443888","0.00163075209970626","0.00135229162336172","0.00196655245418543","0.489254533243788","0.374586916726876","0.63902391570747","27.7799144207065","1.3593002385067e-07","sex discrimination, male","1","3324","2937","114","114","0.970191465450822","0.957298199983468","0.983258382445374","1.21856711130654","1.16572885838763","1.27380033021726","0.902609427521242","0.342082990038407"
