"","OR","2.5 %","97.5 %","Estimate","Std. Error","t value","Pr(>|t|)","V8"
"(Intercept)","1.03351646670825","0.991095446932003","1.07775319749842","0.0329670329670352","0.0213837952288089","1.54168297134743","0.123259418763372","disability"
"country_cat","1.07230522272148","1.02676408188032","1.11986629739721","0.0698107448107477","0.0221425273059212","3.15279027756147","0.00163364744013779","disability"
"SES_both2","1.00705775642586","0.89264417472808","1.1361361598382","0.00703296703296867","0.0615318475478359","0.114297998731488","0.909009456690863","disability"
"country_cat:SES_both2","0.910572539931348","0.801151336669881","1.0349384848105","-0.0936817125526866","0.0653194158402006","-1.43420928291631","0.151620032222306","disability"
"(Intercept)1","1.0404608887572","1.03171435624715","1.0492815714722","0.0396637772524285","0.00430718888425623","9.20873876634683","4.05535234174333e-20","financial discrimination"
"country_cat1","1.08405517866386","1.07148349342761","1.09677436712403","0.0807088045483841","0.00595147356521995","13.5611464394367","1.76118503472285e-41","financial discrimination"
"SES_both21","0.988895744555112","0.961760513676336","1.01679657221637","-0.0111663679259752","0.0141958923146387","-0.786591478611071","0.43154206821321","financial discrimination"
"country_cat:SES_both21","0.950979165713397","0.916172135308608","0.987108577927158","-0.0502631244439212","0.0190247816646191","-2.64198167053853","0.00825672109032191","financial discrimination"
"(Intercept)2","1.03457350212289","1.02408134295886","1.04517315802501","0.0339892665474083","0.00520076219876735","6.53543946990389","6.97414013681817e-11","financial discrimination, female"
"country_cat2","1.07186389546472","1.05663283116209","1.08731451126427","0.0693990914022038","0.00730207993052194","9.50401694620225","3.04980409888537e-21","financial discrimination, female"
"SES_both22","0.989984669258048","0.95606425505941","1.02510855330019","-0.0100658215713359","0.0177882524820984","-0.565869052143593","0.571508209733814","financial discrimination, female"
"country_cat:SES_both22","0.951214728344008","0.907328937785385","0.997223191874666","-0.0500154497641198","0.0240998199598406","-2.07534536969423","0.0380055770192564","financial discrimination, female"
"(Intercept)3","1.04889821353781","1.03403021736473","1.06397999196454","0.0477402928071321","0.007283957003045","6.55417004619532","6.33319170832367e-11","financial discrimination, male"
"country_cat3","1.09787200532293","1.07685322419079","1.11930104585754","0.0933737655483005","0.00986276222531916","9.46730372436601","4.84400627192224e-21","financial discrimination, male"
"SES_both23","0.986253372092815","0.942983825934853","1.0315083750245","-0.0138419877223827","0.0228902984136678","-0.604709797672087","0.545407316323379","financial discrimination, male"
"country_cat:SES_both23","0.949668959753681","0.894904120716624","1.0077852054111","-0.0516418185322129","0.0303050852327322","-1.70406445438521","0.088449384188471","financial discrimination, male"
"(Intercept)4","1.25731729728112","1.23948104795106","1.27541021192342","0.22898032200357","0.00728969502289386","31.4115091625149","1.2207542533671e-202","sex discrimination, female"
"country_cat4","0.872588366389731","0.857183728622686","0.888269844298296","-0.136291350504202","0.00908774202344377","-14.9972732668478","4.6164492803228e-50","sex discrimination, female"
