"","analysis_variable_name","country","N_low_SES","N_high_SES","n_discrimYES_low_SES","n_discrimYES_high_SES","SES_OR_low_SES","CI1_low_SES","CI2_low_SES","SES_OR_SES_high","CI1_SES_high","CI2_SES_high","chi_value_SES","pvalue_SES"
"L.R. Chisq","disability","England","2662","195","259","3","1.23196124024124","1.08132902312451","1.40357695483956","0.915805399516263","0.862487220196454","0.972419660423608","0.674415650834135","0.411516333123391"
"L.R. Chisq1","financial discrimination","England","7581","959","504","29","1.22043957107937","1.08955798430914","1.36704312033546","0.924877481155821","0.88453628667645","0.967058523244098","1.14436920451124","0.284730982079871"
"L.R. Chisq2","financial discrimination, female","England","4257","486","238","11","1.29929610097795","1.12862291880116","1.49577890887569","0.936254635918025","0.882894857735299","0.99283933482915","0.404651804494165","0.524696597014983"
"L.R. Chisq3","financial discrimination, male","England","3324","473","266","18","1.21247664546049","0.997375584612319","1.47396791987699","0.920031643425813","0.858275356657331","0.98623153786151","0.606128259730212","0.436249324149304"
"L.R. Chisq4","sex discrimination, female","England","4257","486","374","57","1.42454037960592","1.3388213190061","1.51574766872878","1.0171089818671","0.989113073527128","1.0458972878659","0.0808165807526962","0.776193840931238"
"L.R. Chisq5","sex discrimination, male","England","3324","473","114","7","1.06694190307923","1.01835675149893","1.11784502127645","0.978532513813433","0.961068170055768","0.996314216227211","0.179400154326245","0.671889245956846"
"L.R. Chisq6","race discrimination","England","192","18","33","5","1.27923577195643","1.18453136670677","1.38151188414927","1.09375182522789","0.904040158194371","1.32327424212955","0.135402100026855","0.712895422223599"
"L.R. Chisq7","weight discrimination,  BMI> 29.9 ","USA","4720","472","185","14","1.31344631678362","1.23255713897167","1.39964401854165","1.00669201825433","0.97209053169251","1.04252514202817","0.00891391707747857","0.92478065820505"
"L.R. Chisq8","weight discrimination,  BMI>25.0, <=29.9 ","USA","1588","253","14","0","1.09705980347556","1.0435361675135","1.1533287008821","0.983102880396464","0.958900842558021","1.00791576203599","0.0267295512279606","0.870131270929644"
"L.R. Chisq9","weight discrimination,  BMI>25.0,","USA","6308","725","199","14","1.2694166682909","1.208947540474","1.33291034042964","0.993332443461042","0.967634455433117","1.0197129067615","0.0131502928766167","0.908702947153781"
