"","analysis_variable_name","rownames_situations","discrim_lessrespectcross_country_OR_UK","discrim_lessrespectCI1_UK","discrim_lessrespectCI2_UK","discrim_lessrespectcross_country_OR_USA","discrim_lessrespectCI1_USA","discrim_lessrespectCI2_USA","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"L.R..Chisq","financial discrimination","discrim_lessrespect",1.414962174453,0.908426116036869,2.20394143209716,1.31816870226337,0.271112252451737,6.40903799777922,0.485240929876777,0.486057932223086
"L.R..Chisq.1","financial discrimination","discrim_medical",0.421895875603546,0.288523357482627,0.616921040307803,0.720661937710259,0.185696377437832,2.79678922997932,2.99957345018517,0.0832864416445147
"L.R..Chisq.2","financial discrimination","discrim_notclever",0.937162786873803,0.575485615616821,1.52614429495291,4.56739083621624,0.801455252058471,26.0289754133775,0.0169631915639048,0.896374319436294
"L.R..Chisq.3","financial discrimination","discrim_poor_service",0.670477253755447,0.42661594939865,1.05373403980116,4.32100238033579,0.837086106950058,22.3048279213424,0.641224988850205,0.423267558804939
"L.R..Chisq.4","financial discrimination","discrim_harrased",0.432392058597901,0.289401021515475,0.646033975137626,2.19852842880536,0.523488560900646,9.23330061682605,2.83026122924776,0.0925033116710935
"L.R..Chisq1","financial discrimination, female","discrim_lessrespect",2.00153452430209,1.11310918352928,3.59905435266566,0.983733815448476,0.0801679886980903,12.0713047111766,1.08273952009834,0.298085514072696
"L.R..Chisq.11","financial discrimination, female","discrim_medical",0.450069297372074,0.294701913800953,0.687346647412027,2.66258689872518,0.436022149423533,16.25919463641,1.43318813326877,0.231244837380705
"L.R..Chisq.21","financial discrimination, female","discrim_notclever",1.142213358164,0.61800878035179,2.11105634263906,13.1916404992204,0.955997145801429,182.029182644462,0.039756328373759,0.841957768047597
"L.R..Chisq.31","financial discrimination, female","discrim_poor_service",0.73223883217605,0.374948432565931,1.4299931958037,1.0961185887787,0.0571476944312771,21.0240495723067,0.217577633066634,0.640891871457168
"L.R..Chisq.41","financial discrimination, female","discrim_harrased",0.476207171226829,0.276916933283258,0.818921642815872,6.02295338733633,0.589267761369657,61.5610930788213,1.23721832437204,0.266007824774906
"L.R..Chisq2","financial discrimination, male","discrim_lessrespect",0.852841980973921,0.424085398193345,1.71507778294201,1.50052180798018,0.156318339079254,14.4037206989677,0.0421839554663919,0.83726951820007
"L.R..Chisq.12","financial discrimination, male","discrim_medical",0.393462052749842,0.195770862635368,0.790783597058899,0.257679598026309,0.0268961924624324,2.46870538763968,1.44848696238914,0.228770887418397
"L.R..Chisq.22","financial discrimination, male","discrim_notclever",0.771952231988841,0.366736705025599,1.62489939050676,0.788898962420574,0.0708963765106734,8.77846800554841,0.111532854289242,0.738405706464158
"L.R..Chisq.32","financial discrimination, male","discrim_poor_service",0.55489278711148,0.303069671044163,1.01595782952323,9.72870290299173,1.37320794452526,68.9244921368414,0.577519258991986,0.447286338282835
"L.R..Chisq.42","financial discrimination, male","discrim_harrased",0.439463012738675,0.235747872601387,0.819213074689767,1.16164170872646,0.154695350362253,8.72302532877036,1.12543809096044,0.288750498335837
"L.R..Chisq3","sex discrimination, female","discrim_lessrespect",1.61190953528347,1.13484567128017,2.28952043056817,2.74236916016611,1.1835964946324,6.3540139268205,1.03087702490828,0.309952768738951
"L.R..Chisq.13","sex discrimination, female","discrim_medical",0.560007897864258,0.370326241290818,0.846844783608165,5.60394615887666,2.08139210466591,15.0880809440899,1.52673635127279,0.216602921825728
"L.R..Chisq.23","sex discrimination, female","discrim_notclever",1.37144844726882,0.928563435443358,2.02557065217414,1.33599704105648,0.526960763981725,3.38713660619631,0.449534824107875,0.502555941774385
"L.R..Chisq.33","sex discrimination, female","discrim_poor_service",0.584677032423266,0.376970884562804,0.906826617763174,2.19578381008616,0.767555011358793,6.28159085575006,1.30814902012916,0.252730058965173
"L.R..Chisq.43","sex discrimination, female","discrim_harrased",0.565556606635851,0.360945311759824,0.886157168103891,3.35625357371847,1.14491691164749,9.83865111651552,1.47525389645769,0.224518573187892
"L.R..Chisq4","sex discrimination, male","discrim_lessrespect",2.21464277279162,1.19350893959821,4.10943097982095,0.685614892801221,0.0979351837728735,4.79978454240702,0.963195165827784,0.326383168817087
"L.R..Chisq.14","sex discrimination, male","discrim_medical",1.12811865375416,0.525505743085622,2.42176553480737,1.61213899470823,0.137845100118307,18.8544397735445,0.0220670997929933,0.881908736526249
"L.R..Chisq.24","sex discrimination, male","discrim_notclever",0.908088547063646,0.453974566781828,1.81645596394052,0.037097910636072,0.004183383658313,0.328981295040238,0.0141629971719279,0.90526870782789
"L.R..Chisq.34","sex discrimination, male","discrim_poor_service",2.02061840909973,0.919767127938729,4.43905705169397,3.54003353006931,0.297190877869312,42.167638131631,0.753858224777145,0.385257436474494
"L.R..Chisq.44","sex discrimination, male","discrim_harrased",0.87150129846172,0.408025615939266,1.86143831061212,4.46858012172149,0.409905044213317,48.7142292736762,0.0288220870068354,0.865190478676132
"L.R..Chisq5","race discrimination","discrim_lessrespect",1.23659031397636,0.616622931646709,2.47988766901111,1.88670167854009,0.744668241130921,4.7801732734029,0.068098251526493,0.794126117236276
"L.R..Chisq.15","race discrimination","discrim_medical",0.498918120027859,0.230960781490944,1.07775566433945,1.05470560812333,0.376928537818814,2.95123294787914,0.730063095138565,0.392862737667197
"L.R..Chisq.25","race discrimination","discrim_notclever",1.12477216785496,0.528187209767273,2.39519701762291,1.48196492564601,0.537099181302724,4.08904000843582,0.0208394544558708,0.885217172551913
"L.R..Chisq.35","race discrimination","discrim_poor_service",0.715321578379285,0.33314487953149,1.53592323320301,1.29158713979344,0.465324101478977,3.58502242711616,0.169491837559466,0.680563823084162
"L.R..Chisq.45","race discrimination","discrim_harrased",0.696578361495577,0.378657691250806,1.28142495165238,1.82965091227428,0.68215589653582,4.90741555967821,0.289997301273402,0.590222259686918
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R..Chisq6","weight discrimination,  BMI>29.9","discrim_lessrespect",1.59814443608022,0.774698282647167,3.29685207232787,0.347862926327888,0.070413265015519,1.71854856448897,0.168978028772919,0.681021667400336
"L.R..Chisq.16","weight discrimination,  BMI>29.9","discrim_medical",0.515339808048251,0.17306598431602,1.53453099873321,3.11367909514375,0.280469332424617,34.5670502501056,0.337838144538511,0.561079751794603
"L.R..Chisq.26","weight discrimination,  BMI>29.9","discrim_notclever",1.67519392341127,0.61398621304137,4.57058256590684,2.40541419196502,0.262769981191575,22.0193243104446,0.204623124358946,0.651014789550261
"L.R..Chisq.36","weight discrimination,  BMI>29.9","discrim_poor_service",1.40169508605506,0.475969005959528,4.12789297132926,0.371231423093443,0.0342657912952328,4.02187617103579,0.0876579855700452,0.767175926683181
"L.R..Chisq.46","weight discrimination,  BMI>29.9","discrim_harrased",0.615689499514265,0.214624801325197,1.76621507613074,5.82583260627051,0.569779988924477,59.5674228930903,0.180834300093615,0.670657234492543
"L.R..Chisq7","weight discrimination,  BMI>25.0 ","discrim_lessrespect",1.38249583119563,0.637381853787281,2.99866510462531,0.510581381904074,0.097933581546892,2.66194030106261,0.0842620302123072,0.771602628691362
"L.R..Chisq.17","weight discrimination,  BMI>25.0 ","discrim_medical",0.507126549218899,0.178808648813068,1.43828242442303,5.55620523613387,0.601545914120808,51.3201335116066,0.370312553235864,0.542833949136099
"L.R..Chisq.27","weight discrimination,  BMI>25.0 ","discrim_notclever",1.48198301294863,0.528516193369754,4.15554656266089,2.86041430568122,0.317293306739386,25.7867715024514,0.12429754903077,0.72441939785891
"L.R..Chisq.37","weight discrimination,  BMI>25.0 ","discrim_poor_service",1.20359469740138,0.40869073961012,3.54458776578762,0.480748249857744,0.0480311633557508,4.81185263054039,0.0275832758868564,0.868092312343808
"L.R..Chisq.47","weight discrimination,  BMI>25.0 ","discrim_harrased",0.535310876660775,0.192535234224516,1.48833919061884,4.51661737761671,0.510167486534448,39.986539860399,0.313665900180609,0.575439306576239
