"","V1","V2"
"mean_age_all",66.5730596240341,66.5730596240341
"sd_age_all",9.03464730839572,9.03464730839572
"range_age",50,90
"n_disability_bin",2890,2890
"percent_disability_bin",33.329489101603,33.329489101603
"n_q1",2133,2133
"percent_q1",24.5992388421174,24.5992388421174
"n_q1",2133,2133
"percent_q1",24.5992388421174,24.5992388421174
"n_q2",2136,2136
"percent_q2",24.63383692769,24.63383692769
"n_q3",2134,2134
"percent_q3",24.6107715373083,24.6107715373083
"n_q4",2135,2135
"percent_q4",24.6223042324991,24.6223042324991
"n_female_all",0,0
"percent_female",0,0
"mean_BMI_all",28.1634963715307,28.1634963715307
"sd_BMI_all",4.99789925027761,4.99789925027761
"nrow_obese",1524,1524
"percent_all_obese",24.46227929374,24.46227929374
"nrow_overweight",3015,3015
"percent_all_overweight",48.3948635634029,48.3948635634029
"nrow_healthy_weight",1620,1620
"percent_all_healthy_weight",26.0032102728732,26.0032102728732
"nrow_under_weight",26,26
"percent_all_under_weight",0.417335473515249,0.417335473515249
