"","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"X-squared","disability_discrimination","2890","386","264","7","0.0101069102750687","0.00890551959810349","0.0114703734221239","0.000341128229405252","0.000161521477695341","0.000720451982965726","3.06289455225625","1.42620476962938","6.57782335188718","8.37093198607374","0.00381270042577328","disability_discrimination","2890","386","264","7","1.06427228858375","1.02182286312098","1.10848518380937","1.13286141739327","1.03856169451244","1.23572340266292","0.745746740202208","0.387826188106388"
"X-squared1","financial_status_discrimination","7581","7068","504","151","0.00507180656693288","0.00463361067059466","0.00555144220804427","0.000476560829726242","0.000405597481827896","0.000559939927155988","3.31327937741511","2.74680824208123","3.99657320981623","171.597439222447","3.31344023626116e-39","financial_status_discrimination","7581","7068","504","151","1.08431841160481","1.07152533893809","1.09726422233783","1.19506157814042","1.14760044835281","1.24448555034759","13.0384090132727","0.000305167229993741"
"X-squared2","financial_status_discrimination_female","4257","4131","238","76","0.00350685574697098","0.00307702801893393","0.00399672578682731","0.000351273564322866","0.000279958331509885","0.000440755294999085","3.27723378212974","2.513835663331","4.27245958015444","83.745375692013","5.62785465156501e-20","financial_status_discrimination_female","4257","4131","238","76","1.07266139108299","1.05715053045081","1.08839983216906","1.21397472039203","1.15690729954373","1.2738571381926","5.57932208002097","0.0181737562429043"
"X-squared3","financial_status_discrimination_male","3324","2937","266","75","0.00756638282928565","0.00667535283726613","0.00857634802458701","0.000686725648159137","0.000546026391409406","0.000863680077115523","3.27721638871732","2.51251644797797","4.27465749214134","82.9570854877749","8.38542409420078e-20","financial_status_discrimination_male","3324","2937","266","75","1.0998130286857","1.07835001617851","1.12170323171449","1.20129892553419","1.12070608009539","1.28768740896522","7.74046143546514","0.00539970010588942"
"X-squared4","sex_discrimination","4816","4583","437","569","0.00995893696591421","0.00902631060930768","0.0109879251649927","0.0200941572458528","0.0184051547199452","0.0219381559984115","0.348543611058305","0.30404736937883","0.399551718068643","240.907222561726","2.49397465998884e-54","sex_discrimination","4816","4583","437","569","0.868049256648128","0.760197722478301","0.991202011906671","1.20333663226409","0.800739470368873","1.80835228452225","0.70993029588675","0.399466952941186"
"X-squared5","sex_discrimination_male","3855","3344","122","132","0.00106807975062448","0.000891844039016825","0.00127914108721483","0.00168887220866954","0.00141906011928925","0.00200998484732622","0.433265087257483","0.336189916320809","0.558370809840423","42.9840304812822","5.51885189502787e-11","sex_discrimination_male","3855","3344","122","132","1.09803339689581","0.971292764027291","1.2413119765244","1.52854003299337","1.09198441475816","2.13962269139236","0.21595144912127","0.642142178503637"
"X-squared6","race_discrimination","213","717","38","142","0.0471510204081633","0.0332008496514864","0.0669627057400171","0.0609875236294896","0.0507544651097425","0.0732837599690038","0.632367453126402","0.422327230345534","0.946869079330728","4.57961036364545","0.0323545710582386","race_discrimination","213","717","38","142","1.37452681488325","0.929592877764209","2.03242086942095","1.48476427574861","0.852408234283489","2.58623141573981","0.516861741771464","0.472183452354763"
"X-squared7","sexual_orientation_discrimination","8671","7927","62","12","5.18654276730202e-05","4.04003101204066e-05","6.65842064005972e-05","2.29858545210896e-06","1.30481582681413e-06","4.04922669703298e-06","4.6787596563425","2.51806755837438","8.69348872273725","27.6121258636447","1.48246498314115e-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X-squared8","weight_discrimination_BMImore30","1947","5192","178","199","0.0101247507078921","0.0086786051273715","0.0118118724602014","0.0015884846435721","0.00137864074500219","0.00183026903274962","1.42322286947403","1.15180502949797","1.75859914162448","10.414923924921","0.00125001004749702","weight_discrimination_BMI_more30","1947","5192","178","199","1.12411005441022","0.929368365069034","1.3596583033384","1.40630143344535","1.10228221085265","1.79417185747802","0.0957380185162222","0.757005399015338"
"X-squared9","weight_discrimination_BMImore25_less30","2590","1841","17","14","4.36534196412291e-05","2.7094858324774e-05","7.03314637608143e-05","5.87190440539624e-05","3.47065656616561e-05","9.93450682566514e-05","0.460485038610039","0.226051351132895","0.938045580001983","3.94726405103998","0.04694763894255","weight_discrimination_BMImore25_less29.9","2590","1841","17","14","0.986638950976212","0.844421164939835","1.1528091194313","1.54754413268399","1.00179545330958","2.39060063079022","0.000952187591985343","0.975383154318317"
"X-squared10","weight discrimination_BMImore25.0","4537","7033","195","213","0.00201692423536161","0.00174734593898802","0.00232809272647237","0.000975417308072685","0.000851064028199298","0.00111794047611299","0.80333932723681","0.657928772246137","0.980887448472702","4.41876379375771","0.0355457796443332","weight_discrimination_BMImore25","4537","7033","195","213","1.04537785841916","0.923251930837142","1.18365836059734","1.41367366474359","1.14091150560431","1.75164613606995","0.0292633592679152","0.864172368744581"
