"","analysis_variable_name","country","N_low_SES","N_high_SES","n_discrimYES_low_SES","n_discrimYES_high_SES","SES_OR_low_SES","CI1_low_SES","CI2_low_SES","SES_OR_SES_high","CI1_SES_high","CI2_SES_high","chi_value_SES","pvalue_SES"
"L.R. Chisq","disability","England","2662","195","259","3","1.22039732489259","1.12397743423719","1.32508855181401","0.914774765587994","0.875510204447399","0.955800249392589","1.43637839885744","0.230726294467094"
"L.R. Chisq1","financial discrimination","England","7581","959","504","29","1.37060705199188","1.2796605649888","1.4680171776539","0.935111374711687","0.907921369208459","0.963115653812095","2.14998735340919","0.142571063936777"
"L.R. Chisq2","financial discrimination, female","England","4257","486","238","11","1.37497511440248","1.26385224005998","1.49586835019288","0.934330707759821","0.899215233134274","0.97081748539797","1.01637243077766","0.313381026858581"
"L.R. Chisq3","financial discrimination, male","England","3324","473","266","18","1.41997907525246","1.26790526013714","1.59029277466418","0.935856983642438","0.894048882482467","0.979620142693365","0.9853080249203","0.320891844410295"
"L.R. Chisq4","sex discrimination, female","England","4257","486","374","57","1.42454037960592","1.3388213190061","1.51574766872878","1.0171089818671","0.989113073527128","1.0458972878659","0.0808165807526962","0.776193840931238"
"L.R. Chisq5","sex discrimination, male","England","3324","473","114","7","1.06694190307923","1.01835675149893","1.11784502127645","0.978532513813433","0.961068170055768","0.996314216227211","0.179400154326245","0.671889245956846"
"L.R. Chisq6","race discrimination","England","192","18","33","5","1.40422565165092","0.912991974675298","2.15976671805437","1.09463102896677","0.904368889573147","1.32492073023696","0.139515549739173","0.70876309708699"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq7","weight discrimination,  BMI>29.9","England","1771","154","167","10","1.63682664049938","1.46876576645931","1.82411757696882","0.96416525591225","0.917451514055086","1.01325751439385","0.175321065972383","0.675425466372217"
"L.R. Chisq8","weight discrimination,  BMI>25.0, <=29.9 ","England","2222","323","16","1","1.04203510502783","1.01391905128888","1.0709308191123","0.994337322704892","0.984329628950451","1.00444676482831","0.0101534582517715","0.919737511497728"
"L.R. Chisq9","weight discrimination,  BMI>25.0 ","England","3993","477","183","11","1.3024322687264","1.23814827472784","1.37005385319675","0.971734393963722","0.952181353976469","0.991688955542572","0.367229586366989","0.544518267199428"
"L.R. Chisq10","disability ","USA","332","54","6","1","0.92352052889839","0.770807006824206","1.10648989921712","1.00240579973633","0.928713229159175","1.08194581039269","0.000125758280399069","0.99105255053876"
"L.R. Chisq11"," financial discrimination ","USA","7068","859","151","11","1.1331738884997","1.09264125447819","1.17521012163391","0.992139253305554","0.972321432610997","1.01236100011334","0.0216872108412929","0.882922239186013"
"L.R. Chisq12"," financial discrimination, female","USA","4131","452","76","5","1.15453548796834","1.10602440929569","1.20517429974904","0.993773084075608","0.968951210661455","1.01923082583174","0.00743229559807901","0.931298875199127"
"L.R. Chisq13"," financial discrimination, male ","USA","2937","407","75","6","1.11549028299997","1.04721270969811","1.18821950874341","0.989435924010589","0.957493338853545","1.02244413407082","0.0177651901982188","0.893967103065471"
"L.R. Chisq14","sex discrimination, female  ","USA","4131","452","512","57","1.56258665149213","1.41179675354003","1.72948197911558","1.05265365689936","0.991552436096759","1.11752004336307","0.501581941447398","0.478805854360003"
"L.R. Chisq15","sex discrimination, male ","USA","2937","407","114","18","1.38378033573967","1.27926526628973","1.49683421260507","1.04324141529298","1.00153128511882","1.08668862046919","0.282259592260871","0.595224010228546"
"L.R. Chisq16","race discrimination","USA","705","12","140","2","1.72343892298261","1.06365217804728","2.79249343211464","0.937788681155621","0.698052096821207","1.2598595642194","0.0363989558104691","0.848693959807663"
"L.R. Chisq17","weight discrimination,  BMI> 29.9 ","USA","4720","472","185","14","1.27146284171916","1.19712997530398","1.35041122620132","1.00689636221118","0.97223676998362","1.0427915457787","0.00946481409428657","0.922498260254508"
"L.R. Chisq18","weight discrimination,  BMI>25.0, <=29.9 ","USA","1588","253","14","0","1.06709128804083","1.0168649350547","1.11979848823421","0.98323626378974","0.95887273634095","1.00821883216779","0.0263090186568817","0.871147926123779"
"L.R. Chisq19","weight discrimination,  BMI>25.0,","USA","6308","725","199","14","1.23072447829415","1.17492232461181","1.28917691811912","0.993547460212802","0.967798786979406","1.01998118718071","0.0123137898067966","0.911642105368183"
