"","analysis_variable_name","rownames_situations","N_ELSA_discrimYES","N_HRS_discrimYES","N_situations","estimate","lower","upper","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national","analysis_variable_name","rownames_situations","discrim_lessrespectcross_country_OR_UK","discrim_lessrespectCI1_UK","discrim_lessrespectCI2_UK","discrim_lessrespectcross_country_OR_USA","discrim_lessrespectCI1_USA","discrim_lessrespectCI2_USA","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"X0","age_discrimination"," lessrespect USA",1328,1331,306,1,NA,NA,205.514952991085,1.30745045470419e-46,"age_discrimination","discrim_lessrespect",1.31166818816293,1.26610453194954,1.35887155635521,1.22132503939137,1.06597959299936,1.39930901270564,48.2532209663999,3.74578146278282e-12
"X1","age_discrimination"," lessrespect UK",1328,1331,660,3.32977904152598,2.81726351045547,3.93553120758417,205.514952991085,1.30745045470419e-46,"age_discrimination","discrim_medical",0.538135299050221,0.522746592159215,0.553977021423922,1.7951496773211,1.60582198422822,2.00679925647859,251.404998166326,0
"X0.1","age_discrimination"," medical USA",1328,1331,943,1,NA,NA,1065.39294427324,1.09809544330096e-233,"age_discrimination","discrim_notclever",1.02640807042961,0.99062977902893,1.06347855611181,1.19124409107443,1.03941992290175,1.36524464583877,0.444029494871529,0.505183974379156
"X1.1","age_discrimination"," medical UK",1328,1331,119,0.0398283558164196,0.0318725840108903,0.0497699818281856,1065.39294427324,1.09809544330096e-233,"age_discrimination","discrim_poor_service",0.803444587688569,0.77550862793104,0.832386877768512,1.33602327153749,1.16602773719294,1.53080250593933,31.2814100558428,2.23206760852079e-08
"X0.2","age_discrimination"," notclever USA",1328,1331,394,1,NA,NA,1.88738581838959,0.169497070295933,"age_discrimination","discrim_harrased",0.516879950100861,0.502400279785465,0.531776938759573,1.82829910196874,1.63941376176082,2.03894689932917,285.028009947117,0
"X1.2","age_discrimination"," notclever UK",1328,1331,428,1.12643743498502,0.955242678017884,1.32831302886142,1.88738581838959,0.169497070295933,"age_discrimination","discrim_lessrespect",1.31166818816293,1.26610453194954,1.35887155635521,1.22132503939137,1.06597959299936,1.39930901270564,48.2532209663999,3.74578146278282e-12
"X0.3","age_discrimination"," poor service USA",1328,1331,601,1,NA,NA,139.980151998321,2.68877241974327e-32,"age_discrimination","discrim_medical",0.538135299050221,0.522746592159215,0.553977021423922,1.7951496773211,1.60582198422822,2.00679925647859,251.404998166326,0
"X1.3","age_discrimination"," poor service UK",1328,1331,310,0.368433563109104,0.311730165812399,0.435451250191043,139.980151998321,2.68877241974327e-32,"age_discrimination","discrim_notclever",1.02640807042961,0.99062977902893,1.06347855611181,1.19124409107443,1.03941992290175,1.36524464583877,0.444029494871529,0.505183974379156
"X0.4","age_discrimination"," harrased USA",1328,1331,1023,1,NA,NA,1160.74958835957,2.06836364983201e-254,"age_discrimination","discrim_poor_service",0.803444587688569,0.77550862793104,0.832386877768512,1.33602327153749,1.16602773719294,1.53080250593933,31.2814100558428,2.23206760852079e-08
"X1.4","age_discrimination"," harrased UK",1328,1331,151,0.0378151365727466,0.0305668820330971,0.0467821530657631,1160.74958835957,2.06836364983201e-254,"age_discrimination","discrim_harrased",0.516879950100861,0.502400279785465,0.531776938759573,1.82829910196874,1.63941376176082,2.03894689932917,285.028009947117,0
