"","analysis_variable_name","rownames_situations","N_ELSA_discrimYES","N_HRS_discrimYES","N_situations","estimate","lower","upper","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national","analysis_variable_name","rownames_situations","discrim_lessrespectcross_country_OR_UK","discrim_lessrespectCI1_UK","discrim_lessrespectCI2_UK","discrim_lessrespectcross_country_OR_USA","discrim_lessrespectCI1_USA","discrim_lessrespectCI2_USA","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"X0","age_discrimination"," lessrespect USA",1943,1331,306,1,NA,NA,1053.65000368505,3.91732350607768e-231,"age_discrimination","discrim_lessrespect",1.76478839324748,1.71426961562118,1.81679593720885,1.40972842073248,1.26514425110373,1.57083606749749,243.45642273725,0
"X1","age_discrimination"," lessrespect UK",1943,1331,1551,13.70406681191,11.5598749177696,16.2459757152396,1053.65000368505,3.91732350607768e-231,"age_discrimination","discrim_medical",0.567947528017629,0.552319772931401,0.584017466673974,1.75232064325668,1.57957014690826,1.94396408592146,241.623876505779,0
"X0.1","age_discrimination"," medical USA",1943,1331,943,1,NA,NA,1117.08723625577,6.38406578659113e-245,"age_discrimination","discrim_notclever",1.23245505896817,1.19066252210379,1.27571452378661,1.19071635655837,1.04731189762516,1.35375664593389,32.8855625279674,9.77464953422214e-09
"X1.1","age_discrimination"," medical UK",1943,1331,263,0.0634996476830634,0.0532346100921232,0.0757440553973326,1117.08723625577,6.38406578659113e-245,"age_discrimination","discrim_poor_service",0.946432583947324,0.913712129454858,0.980324773067884,1.44493747705339,1.26730043191753,1.64747384283166,2.27942370145217,0.131100579909532
"X0.2","age_discrimination"," notclever USA",1943,1331,394,1,NA,NA,128.914322117838,7.08099372153618e-30,"age_discrimination","discrim_harrased",0.567169788837983,0.550837237246168,0.583986607330185,2.05259640043345,1.84138397080823,2.28803554818764,242.658581724671,0
"X1.2","age_discrimination"," notclever UK",1943,1331,961,2.34293973924216,2.02078384656997,2.71645412795517,128.914322117838,7.08099372153618e-30,"age_discrimination","discrim_lessrespect",1.76478839324748,1.71426961562118,1.81679593720885,1.40972842073248,1.26514425110373,1.57083606749749,243.45642273725,0
"X0.3","age_discrimination"," poor service USA",1943,1331,601,1,NA,NA,11.7958583691437,0.00059362635077682,"age_discrimination","discrim_medical",0.567947528017629,0.552319772931401,0.584017466673974,1.75232064325668,1.57957014690826,1.94396408592146,241.623876505779,0
"X1.3","age_discrimination"," poor service UK",1943,1331,756,0.778084635573014,0.675214430422328,0.896627312505924,11.7958583691437,0.00059362635077682,"age_discrimination","discrim_notclever",1.23245505896817,1.19066252210379,1.27571452378661,1.19071635655837,1.04731189762516,1.35375664593389,32.8855625279674,9.77464953422214e-09
"X0.4","age_discrimination"," harrased USA",1943,1331,1023,1,NA,NA,1035.13934953675,4.13397986345535e-227,"age_discrimination","discrim_poor_service",0.946432583947324,0.913712129454858,0.980324773067884,1.44493747705339,1.26730043191753,1.64747384283166,2.27942370145217,0.131100579909532
"X1.4","age_discrimination"," harrased UK",1943,1331,392,0.0747924604620724,0.0631073951257247,0.0886411510224164,1035.13934953675,4.13397986345535e-227,"age_discrimination","discrim_harrased",0.567169788837983,0.550837237246168,0.583986607330185,2.05259640043345,1.84138397080823,2.28803554818764,242.658581724671,0
