"","analysis_variable_name","rownames_situations","discrim_lessrespectcross_country_OR_UK","discrim_lessrespectCI1_UK","discrim_lessrespectCI2_UK","discrim_lessrespectcross_country_OR_USA","discrim_lessrespectCI1_USA","discrim_lessrespectCI2_USA","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"L.R..Chisq","disability","discrim_lessrespect",1.39153664423866,1.01928815499904,1.89973190874645,2.05016159341541,1.24414654168809,3.37835007234171,0.734707973260868,0.391361394672461
"L.R..Chisq.1","disability","discrim_medical",0.52386450701934,0.383523880934654,0.715559148613689,2.40740786159584,1.46052417188628,3.96817301872403,2.81327303332056,0.09348745990503
"L.R..Chisq.2","disability","discrim_notclever",1.07483949412116,0.746869601143697,1.54682950859635,1.68246074270989,0.935951197749222,3.02438220878086,0.0350025182874134,0.851590382482874
"L.R..Chisq.3","disability","discrim_poor_service",0.937115393186128,0.646219979221486,1.35895714831403,2.08945300175116,1.14168048457258,3.82402423928749,0.0283143715559859,0.866371858751255
"L.R..Chisq.4","disability","discrim_harrased",0.539321239011692,0.383853273288812,0.757756723961176,4.19537743015712,2.42833826159575,7.24824546062446,2.56500462018433,0.109252238334692
"L.R..Chisq1","financial discrimination","discrim_lessrespect",1.48255022768135,1.35797817970855,1.61854970163788,1.38339856817182,1.0574816370674,1.80976343355443,17.0600937960137,3.62153639391627e-05
"L.R..Chisq.11","financial discrimination","discrim_medical",0.552759546937937,0.517291451131124,0.59065951324524,1.82798759384642,1.49412145051496,2.23645717830017,38.4356072530067,5.65903990334959e-10
"L.R..Chisq.21","financial discrimination","discrim_notclever",1.02766054352092,0.936411018534424,1.1278019713636,1.33608798952512,1.00574282191587,1.77493796311936,0.0813759858924357,0.775441305606982
"L.R..Chisq.31","financial discrimination","discrim_poor_service",0.894550483078318,0.816179419097529,0.98044688220695,1.39231304429143,1.05332205216351,1.84040162201326,1.35038731250648,0.245210417732426
"L.R..Chisq.41","financial discrimination","discrim_harrased",0.588859068191889,0.546227707110197,0.634817673432051,2.55794675997343,2.03591404824699,3.21383490255521,30.4180211531697,3.48277581219136e-08
"L.R..Chisq2","financial discrimination, female","discrim_lessrespect",1.37127309107035,1.2035451938219,1.56237580437042,1.44492690028612,0.962674102068419,2.1687648423122,5.2793647943468,0.021579619349098
"L.R..Chisq.12","financial discrimination, female","discrim_medical",0.537185001059973,0.488845696955593,0.590304317212832,2.30804891390924,1.72881716698858,3.08134942822026,20.4600225900905,6.08898569864902e-06
