"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA"
"X-squared","financial_all","1","104","737","7","35","0.00520777978531193","0.00241833328022059","0.0112147364112815","0.00248577527779807","0.0017702586478217","0.00349049487164795","1.92340425531915","0.809598352386712","4.56952996318935","1.53003653561228","0.216106961479881","financial_discrimination","1","104","737","7","35","1.06638552919877","0.97221625578377","1.16967607784729","1.10029534540754","0.865480989930687","1.39881737578367"
"X-squared1","financial_all","2","26","666","0","22","0","0","NaN","0.0011670074457004","0.00076299155067069","0.00178495604194177","0","0","NaN","0.0531612266452084","0.81765106357338","financial_discrimination","2","26","666","0","22","0.98024979246223","0.864381849997925","1.11164950493182","1.22477757235444","0.946099221204118","1.58554205322488"
"X-squared2","financial_female","1","66","419","4","19","0.00416233090530697","0.00151430471582667","0.0114408932259157","0.00225625","0.0014240342912943","0.00357481845319407","1.69100169779287","0.540271284564063","5.29268688460029","0.327443015898767","0.567168626231735","financial_discrimination_female","1","71","425","4","19","1.09654556141933","0.978227967840536","1.22917377932138","1.39070001551779","1.01172506665978","1.91163251449965"
"X-squared3","financial_female","2","12","342","0","14","0","0","NaN","0.00182183224271267","0.00106710370104327","0.00311035630121285","0","0","NaN","1.17793380306006e-30","0.999999999999999","financial_discrimination_female","2","13","370","0","14","0.984436605169072","0.825067818439799","1.17458881311042","1.44728175954022","0.957892674635984","2.18670060536147"
"X-squared4","financial_male","1","38","318","3","16","0.00734693877551021","0.00225957496407532","0.0238883463612744","0.00280689443445463","0.00169768586823711","0.00464082108096571","2.37890625","0.626646498446996","9.03092087854017","0.752684963735251","0.385627484531324","financial_discrimination_male","1","40","331","3","16","1.02185889082123","0.886325124689628","1.17811801071988","0.858935943912917","0.607999949508825","1.21343917271965"
"X-squared5","financial_male","2","7","261","0","8","0","0","NaN","0.000999859394772611","0.000494614821414508","0.00202120673710512","0","0","NaN","2.96290418102558e-29","0.999999999999996","financial_discrimination_male","2","13","296","0","8","0.965026327042003","0.808181085162264","1.15231082362835","1.07768138858452","0.773062704305562","1.50233243543257"
"X-squared6","sex_discrimination_female","1","71","425","6","54","0.0085207100591716","0.00369218087314369","0.0196638524511533","0.0211855479108696","0.0159242826351852","0.0281850963441237","0.388888888888889","0.159794365348292","0.946432420014307","3.86957419722442","0.0491689941773954","sex_discrimination_female","1","71","425","6","54","0.917890231343951","0.797303977315407","1.05671425299231","1.35869678002918","0.8953608284373","2.06180221585486"
"X-squared7","sex_discrimination_female","2","13","370","0","69","0","0","NaN","0.0525490888621538","0.0404530034381727","0.0682620944193427","0","0","NaN","3.08049177839779","0.0792365642407202","sex_discrimination_female","2","13","370","0","69","0.76974231345952","0.582189995945075","1.01771454895612","1.38587827290797","0.657023259005592","2.92327335599245"
"X-squared8","sex_discrimination_male","1","40","331","3","15","0.00657414170927684","0.00202699740988529","0.0213218522149465","0.00225324467232815","0.00134236036491419","0.00378222695341557","1.27878787878788","0.351046944494291","4.65834688090099","0.000359272602550803","0.98487741246342","sex_discrimination_male","1","40","331","3","15","1.07731193519165","0.960233772376279","1.20866505542108","1.36858558889308","0.998639536736022","1.87557816932392"
"X-squared9","sex_discrimination_male","2","13","296","0","33","0","0","NaN","0.0157440471887695","0.010962681538334","0.022610802020969","0","0","NaN","1.49469181612039","0.221489922620369","sex_discrimination_male","2","13","296","0","33","1.0236968781164","0.785303894328018","1.33445829803504","2.63775981376467","1.45477047835794","4.78273166703616"
"X-squared10","race","1","6","372","3","76","1","0.201829237377051","4.9546835384005","0.0659240321402484","0.0512368964441499","0.0848212580238106","2.5","0.493628550639779","12.6613422013365","0.474335967813546","0.490999154435189","race_discrimination","1","6","372","3","76","1.27417068640484","0.855974145160148","1.89668221554709","1.52951714057097","0.801645565691855","2.9182755863951"
"X-squared11","race","1","6","372","3","76","1","0.201829237377051","4.9546835384005","0.0659240321402484","0.0512368964441499","0.0848212580238106","2.5","0.493628550639779","12.6613422013365","0.474335967813546","0.490999154435189","race_discrimination","2","0","235","0","49",NA,NA,NA,"1.68448830856969","0.688087884936715","4.12374774185849"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X-squared12","weight_discrimination_BMI_29.9","1","8","543","1","25","0.0204081632653061","0.00251081360058062","0.165879748208739","0.0023292735647948","0.00155925547123305","0.00347955510802949","2.672","0.300493378400263","23.7595385229752","0.0135009978216895","0.907498954913332","weight_discrimination_BMImore29.9","1","8","543","1","25","1.17473202168217","0.945120326220586","1.46012659391625","1.52138466795542","1.13390596999721","2.04127270614469"
"X-squared13","weight_discrimination_BMI_29.9","2","3","461","0","23","0","0","NaN","0.0027574487604512","0.0018130754098676","0.00419371617150173","0","0","NaN","2.86144368352088e-29","0.999999999999996","weight_discrimination_BMImore29.9","2","3","461","0","23","0.978263170720651","0.672837980632886","1.42233176297248","1.25854599415111","0.883773385155105","1.79224453462787"
"X-squared14","weight_discrimination_BMI_25_29.9","1","10","126","0","5","0","0","NaN","0.00170753363841267","0.000698084156308339","0.00417667569155229","0","0","NaN","0.00661764705882353","0.935164469002249","weight_discrimination_BMImore25.0_less29.9","1","10","126","0","5","1.06150802705234","0.829616964739467","1.35821630871592","1.57264439169444","0.736460778514625","3.35823774310999"
"X-squared15","weight_discrimination_BMI>25.0_29.9","2","2","147","0","1","0","0","NaN","4.69131169074874e-05","6.56397549710595e-06","0.000335290791220339","0","0","NaN","1.59769293359334e-27","0.999999999999968","weight_discrimination_BMI>25.0_29.9","2","2","147","0","1","0.986710234333657","0.787081229459586","1.23697154766003","1.09932937944539","0.764595470414917","1.58060717238616"
"X-squared16","weight_discrimination_BMI_25.0","1","18","669","1","30","0.00346020761245675","0.000460475894782431","0.0260014408071475","0.00220414820692543","0.00152835492855551","0.00317875725547879","0.908888888888889","0.116083761558809","7.11623228996745","1.43395062969112e-29","0.999999999999997","weight_discrimination_BMI","1","18","669","1","30","1.075371718875","0.933224457811078","1.23917062404111","1.51669217219803","1.15512124149421","1.99144043289445"
"X-squared17","weight_discrimination_BMI>25.0","2","5","608","0","24","0","0","NaN","0.00168887220866954","0.00112281567738176","0.00254030059846283","0","0","NaN","3.66278195796049e-27","0.999999999999952","weight_discrimination_BMImore25.0","2","5","608","0","24","0.976200620484137","0.73938349127046","1.28886790506529","1.2313771099959","0.915321544038825","1.65656494911207"
